,caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn,month,year
0,1925-12-31,,,,,15236829.5,89.0,,,12.46,,12,1925
1,1926-01-30,-0.001783081,-0.003979716,0.006457145,0.003249569,15277664.0,89.0,15236829.5,79.0,12.74,0.02247191,1,1926
2,1926-02-27,-0.03329646,-0.03787568,-0.03997914,-0.04245058,14712894.9,89.0,15277664.0,81.0,12.18,-0.04395605,2,1926
3,1926-03-31,-0.0577079,-0.06200729,-0.06791501,-0.07327473,14012079.2,89.0,14712894.9,81.0,11.46,-0.0591133,3,1926
4,1926-04-30,0.03852234,0.03485585,0.03144085,0.02712134,14500482.2,89.0,14012079.2,82.0,11.72,0.02268761,4,1926
5,1926-05-28,0.01362326,0.009069733,0.01201107,0.009514593,14778795.5,89.0,14500482.2,82.0,11.81,0.007679181,5,1926
6,1926-06-30,0.05642665,0.05019601,0.05214161,0.04535276,15554633.5,89.0,14762818.0,83.0,12.32,0.04318374,6,1926
7,1926-07-31,0.04040314,0.0381681,0.03754694,0.03392965,16180459.2,89.0,15545083.5,82.0,12.88,0.04545455,7,1926
8,1926-08-31,0.02982192,0.02574676,0.01892423,0.01637997,16743393.6,89.0,16180459.2,83.0,13.1,0.01708074,8,1926
9,1926-09-30,0.01342017,0.009121955,0.01403687,0.008582386,16835120.4,89.0,16687393.6,83.0,13.4,0.02290076,9,1926
10,1926-10-30,-0.03017168,-0.03243385,-0.02589104,-0.02892275,16275309.3,89.0,16692236.8,81.0,12.98,-0.03134328,10,1926
11,1926-11-30,0.02693683,0.01936661,0.03650711,0.03333002,16907546.6,89.0,16217044.3,82.0,13.27,0.02234207,11,1926
12,1926-12-31,0.02604734,0.02032064,0.02120253,0.01431532,17028798.8,89.0,16907546.6,84.0,13.49,0.01657875,12,1926
13,1927-01-31,-0.002910215,-0.005578959,-0.00395484,-0.007715483,17018724.4,89.0,17028798.8,84.0,13.21,-0.02075612,1,1927
14,1927-02-28,0.04552164,0.04056635,0.04342826,0.04092246,17776303.5,89.0,17018724.4,85.0,13.84,0.04769114,2,1927
15,1927-03-31,0.007324372,0.002610089,-0.01005169,-0.01560073,17883291.6,89.0,17776303.5,85.0,13.93,0.00650289,3,1927
16,1927-04-30,0.01302062,0.01090655,0.006899801,0.003889602,18088304.2,89.0,17883291.6,85.0,14.17,0.017229,4,1927
17,1927-05-31,0.06235265,0.05709578,0.06440683,0.06141862,19323089.5,89.0,18076286.8,84.0,14.91,0.05222301,5,1927
18,1927-06-30,-0.02036983,-0.02570527,-0.02692043,-0.0326905,18855819.6,89.0,19323089.5,85.0,14.77,-0.009389671,6,1927
19,1927-07-30,0.08444999,0.08168719,0.06744362,0.06384782,20355724.1,89.0,18855819.6,86.0,15.73,0.06499662,7,1927
20,1927-08-31,0.03332036,0.02862443,0.02611497,0.0233855,21138727.1,89.0,20355724.1,86.0,16.43,0.04450095,8,1927
21,1927-09-30,0.05301614,0.04909533,0.05795908,0.05293503,22117908.2,89.0,21127204.6,86.0,17.14,0.04321363,9,1927
22,1927-10-31,-0.04680404,-0.04895959,-0.04527907,-0.04781725,21050088.1,89.0,22117908.2,86.0,16.23,-0.05309218,10,1927
23,1927-11-30,0.07054642,0.06427008,0.07805794,0.07536279,22421224.2,89.0,21050088.1,87.0,17.33,0.06777573,11,1927
24,1927-12-31,0.01929461,0.0144028,0.01980023,0.01390642,22880436.6,89.0,22421224.2,87.0,17.66,0.01904212,12,1927
25,1928-01-31,-0.00718228,-0.009199866,0.01145915,0.008765546,22716371.5,89.0,22880436.6,87.0,17.57,-0.005096263,1,1928
26,1928-02-29,-0.01254892,-0.01667942,-0.02150767,-0.02381549,22351074.6,89.0,22716371.5,87.0,17.26,-0.01764371,2,1928
27,1928-03-31,0.1057519,0.1016517,0.07528088,0.07058296,24631644.0,89.0,22351074.6,87.0,19.13,0.108343,3,1928
28,1928-04-30,0.03472506,0.03271499,0.04001562,0.03748632,25503612.1,89.0,24631644.0,87.0,19.75,0.03240983,4,1928
29,1928-05-31,0.01232466,0.00742204,0.01592431,0.0137335,25803556.0,89.0,25503612.1,87.0,20.0,0.01265823,5,1928
30,1928-06-30,-0.03433005,-0.03872493,-0.04857334,-0.0540464,24948490.4,89.0,25803556.0,87.0,19.19,-0.0405,6,1928
31,1928-07-31,0.01011716,0.008278435,0.007727386,0.005265756,25138229.9,89.0,24921400.4,86.0,19.43,0.01250651,7,1928
32,1928-08-31,0.07023013,0.06551433,0.06799314,0.06502237,26638717.0,89.0,24990547.4,86.0,20.87,0.0741122,8,1928
33,1928-09-29,0.02240854,0.01993694,0.02571677,0.02253805,27333943.1,89.0,26638717.0,86.0,21.37,0.02395783,9,1928
34,1928-10-31,0.01383858,0.01205504,0.006280661,0.003659781,27717369.8,89.0,27333943.1,86.0,21.68,0.01450632,10,1928
35,1928-11-30,0.1229746,0.1167039,0.1295369,0.1265399,31592727.5,89.0,28236557.8,87.0,24.28,0.1199262,11,1928
36,1928-12-31,0.006232344,0.002888041,0.02632193,0.0217011,32743322.2,89.0,31592727.5,88.0,24.35,0.002883031,12,1928
37,1929-01-31,0.05547319,0.05389204,0.07331088,0.07107962,34729364.2,89.0,32743322.2,88.0,25.74,0.05708419,1,1929
38,1929-02-28,-0.004874487,-0.008074565,-0.01124149,-0.01313232,33727242.9,89.0,34729364.2,88.0,25.59,-0.005827506,2,1929
39,1929-03-28,0.0001539046,-0.00321312,-0.01144848,-0.01510219,33687237.1,89.0,33715582.9,87.0,25.53,-0.002344666,3,1929
40,1929-04-30,0.0195591,0.01823356,0.01194951,0.009954008,34653311.4,89.0,33687237.1,87.0,25.94,0.01605954,4,1929
41,1929-05-31,-0.04128062,-0.04610062,-0.03398164,-0.03673382,33386954.9,89.0,34653311.4,88.0,24.83,-0.04279106,5,1929
42,1929-06-29,0.1122935,0.1095838,0.106753,0.1027373,37098108.7,89.0,33386954.9,88.0,27.62,0.1123641,6,1929
43,1929-07-31,0.05001359,0.04818597,0.05074487,0.04822922,38901636.6,90.0,37100758.3,89.0,28.88,0.04561912,7,1929
44,1929-08-30,0.09487135,0.09073252,0.07835916,0.07604105,43063051.8,90.0,39456798.4,88.0,31.71,0.09799169,8,1929
45,1929-09-30,-0.05094072,-0.05304575,-0.03072769,-0.03396967,41295181.5,90.0,43063051.8,88.0,30.16,-0.04888048,9,1929
46,1929-10-31,-0.1861502,-0.1881152,-0.175188,-0.1774888,33694827.5,90.0,41270476.5,88.0,24.15,-0.1992706,10,1929
47,1929-11-27,-0.125359,-0.1303739,-0.1169759,-0.1197918,29389144.8,90.0,33694827.5,88.0,20.92,-0.1337474,11,1929
48,1929-12-31,0.02775342,0.02357071,0.01506262,0.008734062,30598997.5,90.0,29389144.8,89.0,21.45,0.02533461,12,1929
49,1930-01-31,0.05963205,0.05703175,0.06585366,0.06266773,32286446.5,90.0,30468817.5,88.0,22.79,0.06247086,1,1930
50,1930-02-28,0.02604069,0.02151601,0.03740243,0.03476457,32783643.2,89.0,32105138.5,87.0,23.28,0.02150066,2,1930
51,1930-03-31,0.07234769,0.06935149,0.05320763,0.04935016,35280381.9,89.0,32783643.2,87.0,25.14,0.0798969,3,1930
52,1930-04-30,-0.01393782,-0.01586723,-0.02875773,-0.03127704,34720524.6,89.0,35280381.9,87.0,24.9,-0.00954654,4,1930
53,1930-05-29,-0.01114792,-0.0153038,-0.01556574,-0.01800137,34509386.8,89.0,34692568.4,86.0,24.49,-0.01646586,5,1930
54,1930-06-30,-0.1557148,-0.1591818,-0.1544916,-0.1601025,29191751.9,89.0,34509386.8,86.0,20.46,-0.164557,6,1930
